logFC AveExpr t P.Value adj.P.Val B Entrez_Gene_ID
ATP6AP2 -0.2935525 9.30075 -3.445986 0.0008361591 0.00623876 -1.3782740423 10159
ATP6V0A1 -0.166525 9.750245 -2.881036 0.004859599 0.02857841 -3.0019003903 535
ATP6V0A2 -0.02147677 7.810009 -0.403751 0.6872663 0.872365 -6.9113346272 23545
ATP6V0A4 -0.07570377 6.029101 -1.909161925 0.23814159825525 0.3731253889825 -2.18308540995 50617
ATP6V0B 0.17316744 9.044288 2.399298 0.050591903 0.15966096 -3.96498923075 533
ATP6V0C 0.0562136633333333 8.78269833333333 1.1721947 0.293141894 0.470033353333333 -5.41379124226667 527
ATP6V0D1 -0.2930636 9.503091 -3.917133 0.0001648603 0.001493072 0.1477744822 9114
ATP6V0D2 -0.06192358 6.064093 -2.69917 0.008174643 0.04423946 -3.4728309861 245972
ATP6V0E1 -0.031154465 10.7305215 -0.7256104 0.4848347 0.7350364 -6.69611168325 8992
ATP6V0E2 0.7122508 10.932063 9.256256 4.570774e-15 3.985256e-13 23.8283306162 155066
ATP6V1A 0.1884422 9.827849 3.381217 0.001034085 0.007522262 -1.576245328 523
ATP6V1B1 0.09635546 7.041385 0.8017569 0.4246132 0.7085187 -6.6719970673 525
ATP6V1B2 -0.03681826 10.709959 -0.7297257 0.4672804 0.7394894 -6.72692213 526
ATP6V1C1 0.00331703 6.6469055 0.43653765 0.463237 0.68943005 -6.57290154345 528
ATP6V1C2 -0.053238365 6.047862 -0.459565 0.126668155 0.319248 -5.4781422657 245973
ATP6V1D -0.09829577 10.245609 -2.125868 0.03600086 0.1464354 -4.7798518687 51382
ATP6V1E1 -0.23933055 11.152788 -4.1969825 8.2971435e-05 0.00078665695 1.1383734756 529
ATP6V1E2 0.133647 7.214254 2.823886 0.00573679 0.03287858 -3.152702341 90423
ATP6V1F 0.01420782 10.531537 0.2676911 0.7894938 0.920099 -6.957038037 9296
ATP6V1G1 0.5435924 10.741096 6.909185 4.764697e-10 1.485023e-08 12.4854444155 9550
ATP6V1G2 -0.109025965 6.2228435 -3.542684 0.0426393373573 0.137341689872 0.0359241037500002 534
ATP6V1G3 -0.005832681 6.0417725 -0.2100939 0.6418357 0.83873525 -6.8571163415 127124
ATP6V1H -0.045666497 7.0329445 -0.80178595 0.51727635 0.6777515 -6.4584201331 51606
ATP7A 0.109357 6.870602 2.250112 0.02665414 0.1157734 -4.5202012147 538
ATP7B 0.310580715 6.889821 5.389483 0.0444162950000061 0.141654650000491 8.663533468 540
ATP8A1 0.3276105 6.405251 7.239267 9.810192e-11 3.527609e-09 14.0327559109 10396
ATP8A2 0.04271713 6.248766 1.650173 0.1020756 0.310736 -5.6475676903 51761
ATP8B1 0.07458815 6.261492 2.07061 0.04099657 0.1613334 -4.8910135002 5205
ATP8B2 -0.0406015333333333 6.41487933333333 -0.609885433333333 0.245783533333333 0.513844733333333 -6.22683847443333 57198
ATP8B3 -0.007357592 6.099944 -0.4139144 0.6798318 0.868548 -6.9071793025 148229
ATP8B4 -0.9286369 8.529465 -6.914167 4.653143e-10 1.454915e-08 12.5086242445 79895
ATP9A -0.00356991666666667 7.88528033333333 0.458561333333333 0.13868474 0.371073333333333 -5.83681434313333 10079
ATP9B -0.006590346 6.824942 -0.1384294 0.8901822 0.962095 -6.9833196794 374868
ATPAF1 0.146791185 8.566711 2.34586385 0.26118165434765 0.3884362857075 -0.634152883 64756
ATPAF2 0.08740084 6.853249 2.352593 0.02062065 0.09424478 -4.2960430721 91647
ATPBD1B 0.1533075 8.4751095 3.0327225 0.0997209782285 0.23640822512 -1.44686816905 54707
ATPBD1C 0.008884842 5.975663 0.3181523 0.7510393 0.903215 -6.94224404 51184
ATPBD3 0.06487933 6.428382 1.834284 0.06961427 0.2379759 -5.3359031733 90353
ATPBD4 -0.005680459 6.341499 -0.17689455 0.8602245 0.94931225 -6.97529873685 89978
ATPIF1 0.16609655 7.3490445 2.704036 0.00820322 0.04419614 -3.45863098435 93974
ATR -0.03610689825 5.90364125 -1.36843675 0.37972966475 0.543545025 -5.45652297045 545
ATRIP 0.2185322 7.807345 4.63701 6.02850127e-05 0.000565795605 2.8497793994 84126
ATRN 0.047579908 6.5668352 1.15769854 0.302176926 0.48430652 -5.91290417168 8455
ATRNL1 -0.07440684 6.031654 -2.87076 0.005007629 0.02932416 -3.0292042504 26033
ATRX -0.00341779833333333 5.95451866666667 -0.140101416666667 0.7907738 0.909231433333333 -6.92451430753333 546
ATXN1 -0.083491645 6.5976125 -1.700485 0.09580719 0.29328025 -5.55490281265 6310
ATXN10 -0.013416024 6.782998 -0.30308575 0.76712655 0.9034135 -6.92667048515 25814
ATXN2 0.004049089 10.873602 0.06751302 0.9463094 0.981095 -6.9906338967 6311
ATXN2L 0.080775198 6.3806136 1.3727879 0.33608957531 0.51057141054 -4.81111944016 11273
ATXN3 -0.06941085 7.2236825 -1.55115645 0.321619995 0.44830005 -5.2695547313 4287
ATXN3L 0.03478247 5.942695 1.40455 0.1632837 0.4202994 -6.0146054959 NA
ATXN7 -0.02275643 5.954553 -0.7142471 0.4767545 0.74614 -6.7380578663 6314
ATXN7L1 0.08299396 6.064107 3.254622 0.001554175 0.01074059 -1.9545605606 222255
ATXN7L2 -0.03740866 6.631704 -0.8433889 0.4010434 0.6889807 -6.6379266786 127002
ATXN7L3 0.1862892 8.449814 2.126836 0.03591828 0.1461973 -4.7778810896 56970
ATXN8OS 0.02377674 5.978366 0.8886117 0.376365 0.6668455 -6.5989927883 NA
AUH 0.2547182 8.241111 2.39211 0.01863868 0.08681751 -4.2072222657 549
AUP1 0.02036445 6.5968475 0.0736985 0.1360713 0.3740975 -5.8660683151 550
AURKA 0.3351815 6.7857885 5.4779645 6.2378298e-07 9.7062145e-06 6.13805642705 6790
AURKAIP1 0.1558806 10.630293 2.280497 0.02472136 0.1087865 -4.4546762256 54998
AURKAPS1 0.09398995 6.209415 2.621639 0.01013099 0.05276661 -3.6655573666 NA
AURKB 0.2666091 6.524081 4.807836 5.448726e-06 7.072876e-05 3.4033080987 9212
AURKC 0.002980547 6.003157 0.0985937666666667 0.6427473 0.848089766666667 -6.88020197366667 6795
AUTS2 -0.5066602 8.774847 -6.255963 1.011035e-08 2.399458e-07 9.5011664433 26053
AVEN 0.02524435 6.316247 0.7618692 0.4479486 0.7251498 -6.7030429398 57099
AVIL 0.001006503 6.273835 0.03192221 0.9745983 0.9904669 -6.9924064291 10677
AVP 0.046361285 6.5229765 0.287406 0.062616295 0.2099997 -5.07459479725 551
AVPI1 -1.1068 9.642003 -12.41015 6.821046e-22 3.190938e-19 39.2900632345 60370
AVPR1A 0.02471826 5.968784 1.023259 0.3086786 0.6028836 -6.4712485351 552
AVPR1B 0.02541909 5.965409 0.6679036 0.5057487 0.7656103 -6.7699852982 553
AVPR2 0.02634975 6.050128 0.8914167 0.3748662 0.6656688 -6.5965119086 554
AXIN1 0.146502155 7.6156095 3.2598255 0.0031780085 0.0185496705 -1.86483003355 8312
AXIN2 -0.3134749 9.167555 -3.542692 0.00060586 0.004705667 -1.0772273259 8313
AXL -0.5189131 8.426833 -6.6484 4.4160916e-09 1.07448181e-07 11.29688941035 558
AXUD1 -0.502762 11.323521 -4.241483 4.999092e-05 0.0005156155 1.2807598022 64651
AYP1p1 0.04273092 7.116954 0.8320319 0.4073927 0.693994 -6.6473895698 NA
AZGP1 -0.7317602 9.911471 -3.905044 0.0001721596 0.001552244 0.1068000765 563
AZI1 0.08484868 7.0983565 1.857996 0.07284518 0.23797865 -5.27031936955 22994
AZI2 -0.05739009 6.764694 -1.120315 0.265289 0.5551807 -6.368250108 64343
AZIN1 -0.00287977666666667 7.36947333333333 0.109204033333333 0.501648866666667 0.717384133333333 -6.6221851369 51582
AZU1 -0.04154337 5.964539 -1.736455 0.08559303 0.2754695 -5.5053654649 566
B2M -0.35851165 10.710841 -3.636631 0.00044617155 0.0036010045 -0.77787588325 567
B3GALNT1 -0.11718125 6.946202 -1.5979774 0.16248099735 0.345528750366667 -3.5994730299 8706
B3GALNT2 -0.08455676 6.698009 -2.45575 0.01580099 0.07593342 -4.0614212968 148789
B3GALT1 0.0349792 6.221228 1.11907 0.2658173 0.5557365 -6.3696294078 8708
B3GALT2 -0.03097023 6.042179 -0.9122079 0.3638744 0.6562581 -6.5778836501 8707
B3GALT3 0.02536277 5.8956615 1.024687 0.3084446 0.60204825 -6.46891678065 8706
B3GALT4 -0.1745069 7.602138 -2.572245 0.01158873 0.05895179 -3.7857925488 8705
B3GALT5 0.011374773 5.97474733333333 0.536150666666667 0.546540166666667 0.709915833333333 -6.51041200176667 10317
B3GALT6 0.4092009 8.053199 8.156445 1.105843e-12 5.866167e-11 18.433032095 126792
B3GALTL -0.116288 6.701113 -2.246169 0.02691445 0.1166956 -4.5286468596 145173
B3GAT1 0.598601514333333 6.683663 6.1754345 0.29441620000013 0.319879866674299 13.3468329518333 27087
B3GAT2 -0.005745825 6.017149 -0.2441996 0.8075814 0.9282803 -6.9630570552 135152
B3GAT3 0.3243703 8.033535 5.17441 1.197175e-06 1.820724e-05 4.86443 26229
B3Gn-T6 0.3859839 6.065143 3.373249 0.001061271 0.007690444 -1.6003952615 192134
B3GNT3 0.01346077 6.036678 0.3464231 0.7297597 0.8928747 -6.932844176 10331
B3GNT4 0.001259142 6.032185 0.03957073 0.968515 0.988693 -6.9921325473 79369
B3GNT5 -0.02842338 6.012964 -1.18733 0.2379377 0.522743 -6.2918287722 84002
B3GNT6 0.03807593 8.135636 0.5407386 0.5899019 0.8201741 -6.8466797376 11041
B3GNT7 -0.01488587 5.990127 -0.694023 0.4892925 0.7545723 -6.7522515539 93010
B3GNT8 -0.1276974 6.270962 -4.277537 4.362507e-05 0.0004565384 1.4105824065 374907
B3GNTL1 0.1890727 6.662166 4.709128 8.109647e-06 0.0001014791 3.0210724797 146712
B4GALNT1 -0.09271455 6.115936 -2.781431 0.006479804 0.0364297 -3.2630665331 2583
B4GALNT2 0.03120603 5.934259 1.400212 0.1645749 0.422327 -6.0205798801 124872
B4GALNT3 -0.01768538 5.860126 -0.5796629 0.5634583 0.8046749 -6.8249058939 283358
B4GALNT4 0.7896446 6.854219 7.759818 7.803803e-12 3.521991e-10 16.5147802684 338707
B4GALT1 -0.1430907 7.165878 -2.409978 0.01779944 0.08364515 -4.1666289248 2683
B4GALT2 0.0203687133333333 6.21643633333333 0.347938333333333 0.235206066666667 0.5154582 -6.26417564076667 8704
B4GALT3 0.4329652 9.087494 9.856692 2.239182e-16 2.689894e-14 26.7956492697 8703
B4GALT4 -0.031703025 7.003414 -0.3668844 0.3434055 0.6016608 -6.4124861944 8702
B4GALT5 -0.2013416 8.205456 -4.135459 7.431609e-05 0.0007325013 0.9034074481 9334
B4GALT6 -0.135774 6.034296 -5.970016 3.712712e-08 7.772412e-07 8.2338974164 9331
B4GALT7 -0.03610343 9.038525 -0.767012 0.444899 0.7231781 -6.6991280203 11285
B9D2 -0.003248067 6.969041 -0.07380833 0.9413118 0.9796001 -6.9901883112 80776
bA16L21.2.1 0.04169136 7.368367 0.6893264 0.4922298 0.7567186 -6.7554900344 548645
bA9F11.1 0.000785626 5.895625 0.03090637 0.9754064 0.9909284 -6.9924383965 255349
BAALC -0.01820975 6.123633 -0.7477682 0.46289135 0.72966005 -6.69932610335 79870
BAAT 0.02792085 5.85989 1.122537 0.2643483 0.5541648 -6.3657857216 570
BACE1 -0.01801765 6.1419245 -0.8039475 0.12206734 0.278990225 -4.75944959555 23621
BACE2 -0.025754645 6.809265 -0.32295935 0.7498627 0.8985314 -6.9306872246 25825
BACH1 0.022861492 5.935399 0.8895975 0.4410807 0.643400566666667 -6.4469093756 571
BACH2 -0.0504838786666667 6.10122466666667 -1.70536723333333 0.504946081323667 0.60182089219 -3.42402872916667 60468
BAD 0.132861747666667 6.86076033333333 2.49974516666667 0.250498962466667 0.303693562333333 -2.93205974506667 572
BAG1 -3.797269e-05 6.186712 -0.001280927 0.9989805 0.9995435 -6.9929160089 573
BAG3 -0.3927362 9.245094 -5.560987 2.279378e-07 4.020896e-06 6.4704438805 9531
BAG4 -0.11129657 6.3087415 -2.343405 0.0539995085 0.16772486 -4.1044689634 9530
BAG5 0.0023753875 7.04081575 0.1468419 0.3513028325 0.565754225 -6.1927636642 9529
BAGE 0.01402292 6.071956 0.5182474 0.6054416 0.8299319 -6.8585755379 574
BAGE2 0.03519764 5.91613 1.582868 0.1166399 0.3396437 -5.7537323409 85319
BAGE3 0.03347755 5.971649 1.278762 0.2039694 0.4789606 -6.1806157332 85318
BAGE4 -0.03016654 5.9641085 -1.2447465 0.21976615 0.4960536 -6.2153122728 85317
BAGE5 0.05140438 6.087737 1.803311 0.07438006 0.2496371 -5.3904955747 85316
BAHD1 0.05107455 6.023329 1.314719 0.1916407 0.4617594 -6.1346932066 22893
BAI1 -0.01101830825 5.94592475 -0.48197885 0.475072865 0.6187501325 -6.0490477009 575
BAI2 -0.08982783 5.980892 -3.367667 0.001080715 0.007816105 -1.6172866935 576
BAI3 -0.1444066 6.048068 -4.598503 1.259385e-05 0.000150709 2.5986636238 577
BAIAP2 0.2156643851 7.1953086 2.475890972 0.3270340573716 0.369781976612 -1.90802483156 10458
BAIAP2L1 0.583908 9.063537 7.009231 2.958041e-10 9.568791e-09 12.9519588055 55971
BAIAP2L2 0.1921084 7.285752 1.98818 0.04955191 0.1858321 -5.0518419036 80115
BAIAP3 0.2374421 6.491306 4.67784 9.19023e-06 0.0001135527 2.9009561836 8938
BAK1 -0.001340676 6.419976 -0.03468849 0.972398 0.9897717 -6.9923141372 578
BAMBI 0.470819 8.184686 3.003491 0.003387256 0.02109804 -2.6626880546 25805
BANF1 0.15345211 8.738397 3.3442055 0.00315414285 0.018210797 -1.5826345801 8815
BANF2 -0.01136546 6.079929 -0.4729892 0.6372617 0.8461683 -6.8809893769 140836
BANK1 0.1483091 7.041172 1.212372 0.2282543 0.5104821 -6.2621640544 55024
BANP -0.000644732000000001 8.26106233333333 -0.10036201 0.660378766666667 0.840316966666667 -6.8419579023 54971
BAP1 0.03329509 7.432396 0.7645854 0.4463365 0.7240559 -6.700978519 8314
BAPX1 0.1095905 6.460857 1.435846 0.1541971 0.406326 -5.9709765956 579
BARD1 -0.09325102 7.65179 -1.109945 0.2697106 0.5596913 -6.3796896841 580
BARHL1 -0.002145426 5.998639 -0.09161989 0.9271851 0.9742703 -6.9887125727 56751
BARHL2 0.07864946 5.964646 2.611133 0.0104264 0.05403334 -3.6912980159 343472
BARX1 0.04328618 5.95311 1.713352 0.08977643 0.2853865 -5.5441104264 56033
BARX2 -0.008688669 6.474642 -0.1654483 0.8689284 0.9528927 -6.9792082475 8538
BASP1 -0.4714064 11.269159 -3.524103 0.0006448601 0.00497049 -1.1355969825 10409
BAT1 0.0169784466666667 7.749058 0.683177566666667 0.419211633333333 0.6567857 -6.5199209754 7919
BAT2 0.39043275 9.1410935 4.134001 0.000109189735 0.00100709825 0.9180075875 7916
BAT2D1 0.06773718 8.993375 1.105992 0.2714093 0.5615397 -6.3840224133 23215
BAT3 0.12941111 7.8781555 2.517335 0.11557102265 0.257955389 -3.2092092161 7917
BAT4 -0.0268596 6.221944 -1.007003 0.3163874 0.6107074 -6.4876073214 7918
BAT5 -0.05242197 9.175753 -0.9932317 0.3230176 0.6173847 -6.5012651011 7920
BATF -0.2280172 6.451399 -4.59144 1.295018e-05 0.0001544245 2.5719119029 10538
BATF2 -0.1316616 6.267753 -4.518749 1.723291e-05 0.0001991012 2.2981476311 116071
BATF3 -0.05561517 6.526205 -1.386749 0.1686319 0.4286009 -6.0390090413 55509
BAX 0.220937026666667 7.01361433333333 4.381316 0.0161591189500667 0.0609032618046667 2.670410858 581
BAZ1A 0.26656475 7.3916635 3.5492405 0.003506526285 0.01959318865 -0.8407214925 11177
BAZ1B 0.03770716 7.719137 1.0485747 0.34391025 0.5868454 -6.3474517613 9031
BAZ2A -0.0528515 6.127439 -1.869644 0.06448735 0.2254861 -5.2725175238 11176
BAZ2B -0.2028707 9.125662 -2.657638 0.009175261 0.04868522 -3.5766756691 29994
BBC3 0.04262922 6.004886 1.429308 0.1560624 0.4093466 -5.980167453 27113
BBOX1 0.00604842 6.046611 0.188996 0.8504827 0.9445019 -6.9750291217 8424
BBS1 -0.05479176 8.828615 -1.112747 0.2685109 0.5583447 -6.3766088571 582
BBS10 0.05379709 6.142078 1.243277 0.2167008 0.4958347 -6.2247258909 79738
BBS12 0.06068396 6.805551 1.151765 0.2521903 0.540313 -6.3329228356 166379
BBS2 -0.22616565 8.7002935 -4.180438 0.0002154406435 0.0017732492 1.14650205265 583
BBS4 0.2692809 8.835816 2.607117 0.01054136 0.05454196 -3.7011136914 585
BBS5 -0.0107255776666667 6.04284733333333 -0.536106933333333 0.49790043 0.6710521 -6.40905689613333 129880
BBS7 -0.0745800106 6.3904672 -1.483697028 0.334565612642 0.45423116328 -4.43503243222 55212
BBS9 -0.010769235 6.5913145 -0.163173 0.121205535 0.341905 -5.7402787811 27241
BBX -0.4885054 8.832906 -7.489624 2.9192e-11 1.182555e-09 15.2207345246 56987
BC37295_3 0.03324599 5.917748 1.722364 0.08812504 0.2817546 -5.5290542768 90485
BCAM 0.27778588 6.60580466666667 3.868547 0.005924729603 0.0279295349666667 0.342501707233333 4059
BCAN 0.00165315 6.10147266666667 -0.0381776333333333 0.5056808 0.7570257 -6.74058243523333 63827
BCAP29 0.0344660085 6.689461 0.00151798333333332 0.197184716166667 0.336381081666667 -5.14023371218333 55973
BCAP31 -0.07938929 10.888311 -1.500186 0.1367476 0.3767509 -5.8783932546 10134
BCAR1 -0.03205446 7.718615 -0.4890783 0.6258676 0.8403912 -6.8732546539 9564
BCAR3 -0.3322076 7.269594 -5.306962 6.824139e-07 1.095374e-05 5.4079670275 8412
BCAS1 -0.3167131 7.982585 -1.994322 0.051417715 0.1881505 -5.0295531028 8537
BCAS2 0.0184213125 6.045434 0.58226305 0.4488767 0.6462383 -6.42774896495 10286
BCAS3 0.0236587 6.342803 0.8590378 0.3923941 0.6813512 -6.6246805996 54828
BCAS4 -0.283681203333333 7.42063533333333 -3.8470373 0.163907989112833 0.252154200060667 1.6879716589 55653
BCAT1 -0.007986727 6.139466 -0.1587377 0.8741988 0.9555712 -6.9802975986 586
BCAT2 0.4543751 9.46629 5.734938 1.060964e-07 2.000758e-06 7.2128505156 587
BCCIP 0.1530187825 7.52505925 2.79348325 0.19999460590355 0.25055407519475 -1.969773314025 56647
BCDIN3D 0.315885 8.659303 5.872862 5.742709e-08 1.151192e-06 7.809533729 144233
BCHE -0.2106488 6.2278825 -4.361988 0.0001835084525 0.00152871059 1.8448326842 590
BCKDHA 0.2011582 9.474985 4.401995 2.71167e-05 0.0003009997 1.8644675866 593
BCKDHB 0.0215969425 6.78429475 0.632143925 0.54463165 0.77378005 -6.753180886375 594
BCKDK 0.1105043 10.067124 2.545851 0.01244285 0.06246719 -3.8492238068 10295
BCL10 0.022145505 6.2965495 0.725833 0.4757829 0.7386354 -6.71609276885 8915
BCL11A -0.425023275 6.68193125 -7.03742275 7.00061465786791e-07 9.98976129183468e-06 13.4295675052 53335
BCL11B -0.0905737 6.2460125 -2.200496 0.036860765 0.14136362 -4.58821176 64919
BCL2 -0.3245353125 6.80258425 -4.00926075 0.149318550332988 0.296424409518588 5.71718794545 596
BCL2A1 0.004878778 6.038041 0.1910966 0.8488412 0.9437803 -6.9746293734 597
BCL2L1 0.16813065 8.580647 3.5697875 0.0005602575 0.0043935265 -0.99089145045 598
BCL2L10 0.09296593 6.115589 3.143772 0.002201292 0.01452363 -2.2762524407 10017
BCL2L11 -0.0216056163333333 6.05465733333333 -0.944144433333333 0.3943275 0.627165166666667 -6.44602838013333 10018
BCL2L12 0.17947092 7.40130533333333 4.12345433333333 0.00304002611633333 0.0161708028533333 1.2023690619 83596
BCL2L13 0.2175289 10.139367 4.441379 2.328957e-05 0.0002617427 2.0099187518 23786
BCL2L14 -0.007066015 5.973817 -0.28049225 0.4689194 0.737544375 -6.719267173125 79370
BCL2L15 -0.040442095 5.9863175 -1.4884972 0.23878835 0.424619 -5.6480984498 440603
BCL2L2 -0.2727524 8.680237 -2.770173 0.006691061 0.03739615 -3.2920929585 599
BCL3 -0.09061252 8.487897 -0.6975331 0.4871035 0.7530729 -6.7498170331 602
BCL6 -0.22839243 7.758971 -1.4482345 0.06357073783 0.1800583747 -1.91764024345 604
BCL6B -0.08246884 6.041468 -2.042361 0.04377336 0.169532 -4.9468067584 255877
BCL7A 0.0268244033333333 6.01822933333333 0.962070333333333 0.256075317 0.453368923333333 -5.2409927286 605
BCL7B -0.1638646 7.2135575 -3.2402285 0.00191683545 0.0126442975 -1.98323266555 9275
BCL7C 0.0060787211 7.15777033333333 -0.52629869 0.357309654333333 0.428724073333333 -4.80664657206667 9274
BCL8 0.0560254 6.006805 2.098776 0.03838021 0.1534956 -4.8346866807 606
BCL9 0.2523728 8.250206 5.490894 3.092361e-07 5.304991e-06 6.1746341249 607
BCL9L -0.09726564 6.803012 -1.84591 0.06789232 0.2339635 -5.3151870534 283149
BCLAF1 0.07116637 7.758373 1.13478590333333 0.538498304 0.624188093333333 -5.61283336993333 9774
BCMO1 -0.08921878 6.203288 -1.99209 0.04911416 0.1845745 -5.0443488953 53630
BCO2 -0.0125893 5.837015 -0.4926092 0.6233791 0.8392712 -6.871522754 83875
BCOR 0.285123433333333 7.434246 3.82150233333333 0.0134410247765867 0.0546136385492 0.639516294633334 54880
BCORL1 -0.08715562 6.817855 -1.916173 0.05822649 0.2094363 -5.1873943647 63035
BCORL2 -0.02807443 5.882212 -1.194849 0.2349997 0.5193796 -6.2829848743 286554
BCR 0.0717516922 6.2279912 1.81714188 0.2445345042 0.366717938 -4.80384435002 613
BCS1L 0.1877758 7.943589 3.617978 0.000469556 0.003772265 -0.8384099282 617
BCYRN1 -0.2090814 9.318759 -2.068686 0.04118077 0.1618488 -4.8948358804 NA
BDH1 0.144476626666667 6.41248066666667 3.1606742 0.215254133343785 0.407774200419906 0.729379616166667 622
BDH2 -0.01667582 6.007424 -0.6751628 0.5011456 0.7630978 -6.7651242901 56898
BDKRB1 -0.02392135 6.265495 -0.6857039 0.4945019 0.7579392 -6.7579729328 623
BDKRB2 -0.1317878 6.072548 -3.58647 0.0005226317 0.004135829 -0.9388266582 624
BDNF -0.0911633635714286 6.13838114285714 -1.08662874285714 0.394659842857143 0.613349014285716 -1.78649062182857 627
BDP1 -0.07609443 6.419248 -1.653203 0.1014563 0.3095868 -5.6426909291 55814
BEAN 0.037740985 6.0772165 0.9465245 0.323169325 0.464930275 -5.5539689781 146227
BECN1 0.008196422 7.184041 0.1250235 0.9007584 0.9657921 -6.9850883571 8678
BEGAIN -0.167446 6.485357 -4.412787 2.60115e-05 0.0002897897 1.9042379711 57596
BEST1 -0.3497248 6.616451 -6.448901 4.147595e-09 1.072774e-07 10.370534523 7439
BEST2 0.02435513 5.920548 0.8145841 0.4172649 0.7025947 -6.6616810049 54831
BEST3 -0.0256542 6.078523 -1.073947 0.2854561 0.5779446 -6.4185933126 144453
BEST4 -0.1536547 6.192169 -5.543841 2.456372e-07 4.311233e-06 6.3979047263 266675
BET1 0.0264077 6.873091 0.5289566 0.5980191 0.8254343 -6.8529740327 10282
BET1L 0.002351464 6.92005 0.03696417 0.970588 0.989096 -6.9922324665 51272
BEX1 -0.4128328 7.251518 -4.1133945 0.0004775371385 0.00351750251 0.97597801745 55859
BEX2 -0.2836583 9.064848 -3.301418 0.001338506 0.009433726 -1.8160585018 84707
BEX4 -0.2447678 7.931653 -2.997847 0.003437391 0.021342 -2.6857792152 56271
BEX5 -0.1291715 6.837372 -1.412013 0.1610805 0.4166786 -6.0042855263 340542
BEXL1 -0.183937275 8.03022 -3.474913 0.034168944645 0.117490422555 -0.36491053115 56271
BFSP1 -0.1000783 6.112804 -3.013742 0.003276809 0.02051282 -2.6419519852 631
BFSP2 0.01415971 5.936659 0.5965502 0.5521689 0.797084 -6.8149918851 8419
BGLAP -0.05148793 6.943234 -1.398481 0.1650924 0.4231194 -6.0229594081 632
BGN 0.2373841 12.798547 2.310781 0.02291865 0.10257 -4.3885799138 633
BHLHB2 -0.4034975 11.3039 -3.019789 0.003217563 0.02020404 -2.6252286455 8553
BHLHB3 0.1445302 7.31392 1.758934 0.08167731 0.2661597 -5.4671968251 79365
BHLHB4 0.06845641 5.908383 2.505101 0.01387295 0.06848079 -3.9460277191 128408
BHLHB5 -0.04320505 6.204575 -0.8271562 0.4101371 0.6967847 -6.6514133446 27319
BHLHB8 0.03048816 6.062723 1.327571 0.1873719 0.4560365 -6.1179812467 168620
BHLHB9 -0.0717959 6.808599 -2.021707 0.04590424 0.1755903 -4.9871536486 80823
BHMT -0.1038102 5.891764 -3.823741 0.0002298845 0.00201302 -0.1663512737 635
BHMT2 -0.3861953 6.427272 -8.0389805 2.08063650002031e-07 3.49059100037014e-06 18.31393029085 23743
BICC1 -0.02211145 5.992047 -1.003867 0.317889 0.6122787 -6.4907333526 80114
BICD1 0.30892245 6.4157995 6.157068 8.147596254e-07 1.20423639505e-05 9.2381148864 636
BICD2 -0.184859725 7.180435 -2.8765045 0.105028500144153 0.243871804672444 3.3874936159 23299
BID 0.07822823 6.31896633333333 1.98298593333333 0.198855269433333 0.284200931333333 -3.5772394419 637
BIK 0.7994164 7.872435 10.96458 8.672233e-19 1.892437e-16 32.260450662 638
BIN1 -0.6251645 9.53788 -9.0090345 3.9771638e-14 2.7465862e-12 22.61142702425 274
BIN2 0.05594205 5.839952 2.555865 0.01211235 0.06115796 -3.8252254418 51411
BIN3 -0.3123637 6.536395 -6.416275 4.825487e-09 1.229804e-07 10.2227639964 55909
BIRC1 0.01213644 5.925373 0.4471939 0.6557116 0.8565359 -6.8928527169 4671
BIRC2 0.065981275 7.785817 1.166496 0.14158240035 0.290555403 -3.9433520985 329
BIRC3 -0.160830133333333 7.92877 -2.529614 0.016089743 0.07463365 -3.854049586 330
BIRC4 0.01077647 6.141426 0.3574101 0.7215453 0.8896047 -6.9289757902 331
BIRC5 0.08794165 6.092764 2.79232275 0.176807980235 0.32344740785 -1.8775711025 332
BIRC7 -0.01835667 6.0300075 -0.7424538 0.47711345 0.72688355 -6.6785377203 79444
BIRC8 -0.0006662243 6.010585 -0.03426352 0.972736 0.9898109 -6.9923288141 112401
BIVM 0.11977335 8.073845 2.0580995 0.046911015 0.17288775 -4.8947026409 54841
BLCAP -0.1204719 8.76738 -2.488209 0.01450775 0.07092356 -3.9857524559 10904
BLID 0.004311343 6.120995 0.1769322 0.859923 0.949022 -6.9772394773 414899
BLK -0.08041269 6.074894 -2.500121 0.01405746 0.06917404 -3.9577640189 640
BLM 0.06746865 6.233513 2.703954 0.008065992 0.04379273 -3.4607801692 641
BLMH -0.1248241 6.745733 -2.689344 0.008401992 0.04525337 -3.4975253204 642
BLNK -0.02527941 5.888836 -1.079703 0.2828967 0.5751364 -6.4124562999 29760
BLOC1S1 -0.1718285 8.520293 -1.676513 0.09679171 0.299983 -5.6048813005 2647
BLOC1S2 0.00323115 6.109384 0.0278125 0.23902435 0.52393905 -6.2941612848 282991
BLOC1S3 -0.01952763 5.979384 -0.9068975 0.3666623 0.6585762 -6.5826817677 388552
BLR1 -0.02497734 5.939458 -1.08784 0.2793058 0.5704541 -6.4037266532 643
BLVRA -0.1977811 7.400423 -3.689622 0.0003672391 0.003043249 -0.6075885372 644
BLVRB -0.0456232 6.699177 -1.285981 0.2014483 0.4758393 -6.1714946359 645
BLZF1 -0.06204864 9.0704145 -0.9445698 0.42839395 0.62535155 -6.3728760733 8548
BMF 0.08264819825 6.2459995 1.7122393 0.391660048 0.4656989225 -4.609319216725 90427
