GENE logFC AveExpr t P.Value adj.P.Val B
FLJ39534 285352 0.3870255 5.1234847 1.208331 0.2723753 0.56476149 -6.11383505
FLJ39582 439931 0.14248 4.6288531 0.2698765 0.6799745 0.851187921 -6.7137757885
FLJ39609 284598 -2.319881 4.280952 -4.123523 0.006190976 0.067104929 -2.267314809
FLJ39632 642477 -0.1542193 10.233134 -0.2526826 0.808947 0.916152381 -6.830453798
FLJ39653 202020 -0.9135917 5.2218358 -1.856546 0.1127596 0.344010315 -5.299716888
FLJ39824 441173 0.1283343 0.7912249 0.731743 0.4919035 0.759571711 -6.571241608
FLJ40113 374650 -1.392567 8.9918344 -7.652298 0.0002600689 0.014346817 1.102909556
FLJ40125 147699 -1.039708 4.4130852 -4.048253 0.006738619 0.070199584 -2.358473597
FLJ40142 400073 -0.3561092 9.1396455 -1.779527 0.1254559 0.366856924 -5.403316307
FLJ40176 121951 -0.04416153 2.8292035 -0.1610221 0.8773606 0.945565721 -6.852174515
FLJ40235 284369 0.8031285 1.3028616 1.151189 0.2934527 0.588854431 -6.176835954
FLJ40292 643210 -0.2367423 3.0390637 -0.668715 0.52855 0.781408451 -6.618287753
FLJ40330 645784 -1.338119 8.17158183333333 -5.510718 0.00521140073333333 0.0538049163333333 -1.06513326533333
FLJ40434 163742 -0.1595788 0.7420652 -0.3846749 0.713743 0.875062632 -6.782752558
FLJ40473 285226 -1.264259 3.9433157 -3.513001 0.01262412 0.098385546 -3.031894333
FLJ40504 284085 0.827151 13.6766172 3.347123 0.01547308 0.110017502 -3.249167086
FLJ40536 399819 0.5717905 0.7375316 2.636745 0.03870648 0.185897693 -4.216599693
FLJ40606 643549 0.6129453 0.7815563 2.116593 0.07865017 0.278533359 -4.942797004
FLJ40712 401044 -0.6542277 4.86739 -0.8935938 0.4059507 0.699764505 -6.434752297
FLJ40852 285962 -0.42387631 3.35781315 -0.30523272 0.76975455 0.894678141 -6.7567811295
FLJ41603 389337 -0.3501467 10.9211818 -0.8250969 0.4408777 0.725712607 -6.495160987
FLJ42393 401105 -0.5097226 5.058773 -0.7859651 0.4617882 0.739922887 -6.52795528
FLJ42627 645644 -0.56201929 3.8561434 -1.46176805 0.44659331 0.537308088 -5.220707768
FLJ42709 441094 -2.677217 4.43285675 -8.045212 0.00040672809 0.0161087935 1.2472403985
FLJ42875 440556 -1.5641555 3.1187075 -4.4775335 0.0070809275 0.0657008255 -1.9214668405
FLJ43080 642987 0.4774652 3.16888635 0.6024356 0.583705 0.798679328 -6.628822947
FLJ43093 401258 0.3437995 3.3930967 1.425466 0.2039035 0.482404798 -5.858846237
FLJ43276 388165 -1.294414 7.5517531 -5.349852 0.001744536 0.034794092 -0.905659832
FLJ43390 646113 -0.033279455 0.6927887 0.0780956 0.74169145 0.886838702 -6.795213729
FLJ43663 378805 0.08612443 6.7830909 0.2177307 0.8348543 0.927866041 -6.839854743
FLJ43692 445328 -0.2763404 7.2904766 -1.184068 0.2811607 0.575319216 -6.140815891
FLJ43860 389690 0.1690926 1.5809675 0.1961433 0.8509722 0.934462755 -6.844974029
FLJ44048 401024 -1.279067 2.3690599 -3.416023 0.01421173 0.105082372 -3.158454789
FLJ44087 400649 -2.802186 3.7304882 -4.236366 0.005460905 0.063077782 -2.132316337
FLJ44253 441057 0.7125268 4.9640252 1.123985 0.3039646 0.601053898 -6.206150875
FLJ44715 386671 0.5798339 3.0374848 1.169007 0.2867356 0.58183414 -6.157394106
FLJ45055 644128 0.4192093 11.2123199 2.146033 0.075516 0.273084267 -4.901906243
FLJ45244 400242 0.5734594 4.9236925 1.2825175 0.2470675 0.5361708955 -6.029215559
FLJ45248 401472 -0.09529575 4.237602 -0.193459 0.8529821 0.935166207 -6.845573767
FLJ45422 441140 -1.083769 7.6518205 -1.527606 0.1774664 0.446642674 -5.731679261
FLJ45717 388759 0.1090643 10.4547047 0.3998816 0.7030901 0.870235713 -6.776041198
FLJ45803 399948 0.2072747 8.3801496 0.5596824 0.5959544 0.818017619 -6.690933151
FLJ46111 283102 0.20798305 5.9693383 0.5593866 0.6094013 0.81379804 -6.657673591
FLJ77644 728772 -2.10061 7.1198112 -6.156209 0.0008423079 0.024478045 -0.128952001
FLJ90680 400926 0.09768868 0.5212371 0.5393665 0.6090498 0.824696372 -6.703195131
FLNA 2316 -3.693622 9.7422288 -7.913025 0.0002161149 0.013128763 1.293573353
FLNB 2317 -0.175964215 9.8231071 -0.6602932 0.5823205 0.7659321275 -6.5135453085
FLNC 2318 -4.215054 7.6508 -7.335099 0.0003281418 0.01579298 0.861989429
FLOT1 10211 -0.30463105 9.2451096 -1.17397525 0.3216261 0.5880532585 -6.0990766415
FLOT2 2319 -0.7101528 6.80586025 -2.5387675 0.048201765 0.2069263145 -4.3546804955
FLRT1 23769 -0.501624 2.7167626 -1.117585 0.3064836 0.603947129 -6.212982868
FLRT2 23768 -2.6946585 5.14307605 -4.4379235 0.004491001 0.0565320225 -1.8990548775
FLRT3 23767 -4.075419 8.097272 -6.946358 0.0004414072 0.017965593 0.552546877
FLT1 2321 0.01356048 4.8284982 0.03145527 0.9759266 0.98951141 -6.866534772
FLT3 2322 -0.9087984 1.7564269 -0.8529044 0.426441 0.7150504 -6.471089782
FLT3LG 2323 -1.138623 4.4403432 -3.919477 0.007805795 0.075322162 -2.516486504
FLT4 2324 -0.1447133 4.12169533333333 -0.849419166666667 0.233954966666667 0.488220967666667 -5.69096078833333
FLVCR1 28982 0.5704179 8.1096095 0.9742785 0.3675427 0.664588607 -6.358945342
FLVCR2 55640 -0.05738545 3.4083595 -0.08502446 0.9350079 0.971503496 -6.862936148
FLYWCH1 84256 -0.9240319 7.35728615 -3.395061 0.0160768385 0.1099117825 -3.194172813
FLYWCH2 114984 -0.7165058 6.89683575 -1.693 0.14143695 0.3931201105 -5.5180687435
FMC1 154791 0.4263451 11.4122846 1.685496 0.1428681 0.395458068 -5.52797557
FMN1 342184 -0.6332266 7.0715119 -0.8192478 0.443959 0.727673362 -6.500143744
FMN2 56776 -2.499577 3.396301 -4.88605033333333 0.00437027776666667 0.051467574 -1.46795573333333
FMNL1 752 -0.3538696 4.2637508 -1.042885 0.3371853 0.635212177 -6.290786381
FMNL2 114793 -0.3201124 6.7631877 -0.9306702 0.3879353 0.683442518 -6.400522379
FMNL3 91010 -0.24311455 0.90021175 0.07111385 0.6025284 0.82116374 -6.6937204655
FMO1 2326 -0.2389441 3.4558425 -0.555424 0.5986859 0.819082214 -6.693537271
FMO2 2327 -2.019931 5.3524738 -3.407427 0.01436273 0.105591747 -3.169736332
FMO3 2328 -0.03497815 3.4297744 0.1635635 0.2844924 0.5757720055 -6.12671529
FMO4 2329 -1.441829 4.7099169 -2.640794 0.04331087 0.1930784945 -4.2141589785
FMO5 2330 2.694444 6.41111485 5.113345 0.002604059 0.041326185 -1.174766233
FMO9P 116123 -1.190315 2.2522899 -0.9251161 0.3905943 0.685989763 -6.40571658
FMOD 2331 -2.448534 12.7547346 -2.022831 0.08954586 0.299606578 -5.072493019
FMR1 2332 -0.90638295 7.21545735 -3.427588 0.016210745 0.1093911025 -3.1559046125
FMR1NB 158521 3.201886 3.878928 1.994555 0.09312352 0.306429467 -5.111413232
FN1 2335 -0.871772975 9.43657081666667 -2.95858291666667 0.0281676258333333 0.150335808166667 -3.775483509
FN3K 64122 -0.2156799 4.025864 -0.7958727 0.4564283 0.736295998 -6.519773417
FN3KRP 79672 -0.30472 10.8531715 -0.7676783 0.4717972 0.746972568 -6.542837696
FNBP1 23048 -0.8979005 8.3855574 -4.4427557 0.2521816135 0.3899760955 -2.5543642315
FNBP1L 54874 -0.30691599 8.53085935 -0.9264943 0.47035075 0.669310664 -6.2622501355
FNBP4 23360 -0.1502331 9.5504699 -0.5164594 0.624008 0.832756813 -6.716527124
FNDC1 84624 0.8814247 3.5860559 1.211499 0.2712456 0.563691454 -6.110287002
FNDC3A 22862 -1.3294665 5.578808 -3.203524 0.041841805 0.169823885 -3.505443529
FNDC3B 64778 -0.2293963 7.50575846666667 -0.940227666666667 0.161399753333333 0.403983280333333 -5.45330073133333
FNDC4 64838 -1.094474 7.4222051 -1.74524 0.1315509 0.377443626 -5.449023042
FNDC5 252995 -0.050226 5.9637051 -0.08768556 0.9329797 0.970537813 -6.862671234
FNDC7 163479 0.2575767 0.7259852 0.9666511 0.3710476 0.668241999 -6.366317869
FNDC8 54752 0.4960223 1.2045231 0.5650919 0.592495 0.815768762 -6.687599308
FNIP1 96459 -0.9036556 1.1079016 -1.636129 0.1529257 0.410688667 -5.592491662
FNIP2 57600 0.1456419 7.94401175 0.5485807 0.60319095 0.821410245 -6.6974304545
FNTA 2339 -0.32062583 8.5872989 -1.137273225 0.500160705 0.6040124685 -5.741394
FNTB 2342 -0.08161843 7.2357417 -0.46381575 0.42356205 0.663587635 -6.299396038
FOLH1 2346 2.7226765 13.12784 3.880951 0.008447615 0.0783968225 -2.567861961
FOLR1 2348 -2.912587 6.4363401 -5.2583 0.001904178 0.036459618 -0.999514346
FOLR2 2350 1.02627815 6.6166291 1.8484175 0.11418375 0.34648372 -5.3105766315
FOLR3 2352 0.1368449 3.9904572 0.144989 0.8894672 0.95103124 -6.854994934
FOLR4 390243 0.1543649 1.5239925 0.2868606 0.7838671 0.904185213 -6.819940665
FOS 2353 0.9625949 6.6770553 2.015201 0.09049735 0.301258986 -5.083005154
FOSB 2354 -0.5567058 3.7177723 -1.133173 0.3003794 0.596900104 -6.196300361
FOSL1 8061 0.99256155 2.628496 1.17034345 0.32613215 0.589758278 -6.098286161
FOSL2 2355 -0.1933319761 6.30694243333333 -0.805157262 0.605931563333333 0.724333908 -6.228930401
FOXA1 3169 0.498462127272727 12.2629540363636 2.22424654545455 0.0727731118181818 0.262747924363636 -4.79127843409091
FOXA2 3170 -0.5857642 4.40134626666667 -0.6374844 0.5653065 0.785634015333333 -6.597704373
FOXA3 3171 -0.83890235 4.87236705 -2.1773785 0.16401787 0.362806057 -4.8027286975
FOXB1 27023 0.3032083 9.3094721 0.732585 0.4914257 0.759354983 -6.570588974
FOXC1 2296 -3.1128035 9.3879221 -9.2102375 9.4418625e-05 0.0100061985 2.149558287
FOXC2 2303 0.05967674 8.6132925 0.2858043 0.7846381 0.904702394 -6.820285022
FOXD1 2297 0.637326665 5.45160185 0.21222885 0.58687845 0.805678452 -6.6511852435
FOXD2 2306 -2.123703 6.21185055 -6.451722 0.00085169765 0.0233969225 0.092383011
FOXD3 27022 -0.1456024 8.1853292 -0.6823044 0.5205017 0.777101351 -6.608448852
FOXD4 2298 1.8023665 4.62809785 3.428938 0.0288443735 0.1388106785 -3.210414342
FOXE1 2304 -1.50742996666667 5.5341583 -2.6226943 0.242179877666667 0.349018702666667 -4.09616578666667
FOXE3 2301 0.04946614 4.8525954 0.2501392 0.8108238 0.916660597 -6.831184097
FOXF1 2294 -3.19784 7.4120168 -7.053196 0.0004063246 0.017304355 0.639202341
FOXF2 2295 -2.642038 7.5223613 -2.516803 0.04548085 0.203409894 -4.383962228
FOXG1 2290 0.4469998 1.21042155 0.3486867 0.2568263 0.532439404 -5.953384799
FOXH1 8928 -0.09462639 4.9874976 -0.462096 0.6602928 0.851664258 -6.746035105
FOXI1 2299 -0.782137 1.9481173 -1.619972 0.1563625 0.415996375 -5.613451871
FOXI3 344167 -0.06457478 2.7555717 -0.2835773 0.7862647 0.905719419 -6.821006978
FOXJ1 2302 0.14791113 4.58891125 0.38843317 0.7273641 0.8728984425 -6.7234317255
FOXJ2 55810 -0.70379065 7.14671855 -3.6074005 0.0113855715 0.0925856505 -2.910982615
FOXJ3 22887 0.07939466 11.1093813 0.3794998 0.7173846 0.876208677 -6.784980106
FOXK1 221937 -0.070771435 7.20201345 -0.21368337 0.8404642 0.930530426 -6.8248598105
FOXK2 3607 0.4430904 7.94810425 1.6510739 0.24485693 0.4675589555 -5.4668510185
FOXL1 2300 -1.383046 5.7410838 -5.005568 0.00243838 0.04124518 -1.264932403
FOXL2 668 1.848897 3.0380502 2.130419 0.07716203 0.276236144 -4.923602414
FOXM1 2305 2.366016 4.645324 3.523521 0.01246402 0.097574755 -3.018245714
FOXN1 8456 0.02734923 4.5650346 0.03499291 0.9732204 0.988193156 -6.866399132
FOXN2 3344 -0.977197 8.14523 -3.645497 0.01076291 0.089696181 -2.861170169
FOXN3 1112 -1.00084275 10.4693855 -4.4952295 0.0041783075 0.0545299725 -1.831772216
FOXN4 121643 0.8451012 2.2695118 0.9109931 0.3974187 0.692222644 -6.418819448
FOXO1 2308 -1.656251 8.87347415 -7.880333 0.0003144318 0.014906516 1.207237309
FOXO3 2309 -0.2468965 8.6040099 -1.137249 0.3022376 0.596291688 -6.186958038
FOXO4 4303 -0.31035698 4.29378566666667 -0.6754466 0.483859966666667 0.693964374666667 -6.326008797
FOXP1 27086 -0.5495337 11.80705905 -1.6496125 0.16248181 0.414400959 -5.5617644585
FOXP2 93986 -1.03229982 3.56496398 -1.2939824 0.304855634 0.5243949934 -5.7352575422
FOXP3 50943 -0.179838 0.7906453 -0.4201868 0.6889803 0.863620194 -6.766695917
FOXP4 116113 0.181968543333333 4.9251601 0.8670088 0.517761423333333 0.67530657 -6.11208848
FOXQ1 94234 -1.43596085 11.49294525 -1.9099011 0.279498145 0.4560220435 -5.05858611
FOXR1 283150 0.5065304 1.51264 0.6288377 0.5526259 0.795065787 -6.646170171
FOXRED1 55572 0.6094605 6.5865673 2.959419 0.02530025 0.144861009 -3.770837465
FOXRED2 80020 1.32306045 6.1298908 3.0398645 0.02320225 0.1376598235 -3.662211919
FOXS1 2307 -0.07899401 6.2573783 -0.2929861 0.7794011 0.901967676 -6.817919419
FPGS 2356 -0.280559435 7.24422885 -0.82791604 0.5539265 0.6888350255 -6.188586997
FPGT 8790 -0.8912097 6.6234859 -3.385606 0.01475405 0.107007853 -3.198420913
FPR1 2357 0.03641331 6.1655115 0.07502331 0.9426349 0.975374883 -6.863858934
FPR2 2358 -1.167512 2.1562059 -2.614508 0.03987654 0.18895182 -4.247583052
FPR3 2359 0.9964187 3.8357719 1.993819 0.09321856 0.30663013 -5.112425065
FRAG1 27315 0.2968493 9.1715775 1.435085 0.2012662 0.478908972 -5.847045501
FRAP1 2475 -0.4891944 8.9643711 -1.487414 0.1874639 0.460878644 -5.782199202
FRAS1 80144 -1.6937701 5.1249988 -5.014657 0.0965809375666667 0.206807712333333 -1.691657108
FRAT1 10023 0.6410634 3.9586354 1.873011 0.110215 0.339189774 -5.277417486
FRAT2 23401 -0.1543072 9.9193884 -0.328518 0.7536821 0.890916739 -6.805379253
FREM1 158326 0.0604998 5.0213138 0.087998 0.9327416 0.97043237 -6.862639596
FREM3 166752 0.04314996 0.4979855 0.2179622 0.834682 0.927756471 -6.839797004
FREQ 23413 -1.570878 7.0455871 -4.8669275 0.0044276785 0.0517735155 -1.4804827845
FRG1 2483 0.049282475 11.3434151 0.172499 0.71517615 0.872670898 -6.7649234195
FRG1B 284802 -0.132374 8.1924903 -0.6140673 0.5617145 0.799585956 -6.65611756
FRG2 448831 0.1393434 0.5282808 0.7798203 0.4651346 0.74248603 -6.532987968
FRK 2444 -0.6682989 3.937253 -1.210997 0.2714244 0.563854695 -6.110849674
FRMD1 79981 0.02438416 3.3848332 0.07596742 0.9419146 0.974917257 -6.863776743
FRMD3 257019 -0.6049519 2.3014089 -1.409694 0.208296 0.4881785 -5.878109466
FRMD4A 55691 -0.63782404 6.87090308 -2.08014018 0.2069415906 0.351760756 -4.2945201234
FRMD4B 23150 -0.2257633 6.862711 -0.7620114 0.4749295 0.748929825 -6.547391405
FRMD5 84978 -2.053356 3.2993537 -3.269961 0.01703363 0.115511385 -3.351516185
FRMD6 122786 -3.1833085 4.4006027 -12.46109 2.5714508e-05 0.008657278 3.7109375975
FRMD7 90167 0.1752872 1.1334922 0.2326069 0.8237977 0.92286282 -6.836021157
FRMD8 83786 1.01529670333333 4.20961263333333 0.942519336666667 0.488601156666667 0.661514749666667 -6.10843926466667
FRMPD1 22844 -0.1038562 1.8312649 -0.07780865 0.94051 0.974228764 -6.863613499
FRMPD2 143162 -0.254876 4.6096039 -0.4779785 0.6495807 0.845698581 -6.737727508
FRMPD3 84443 0.3360511 5.4643658 1.4539 0.1961988 0.472318759 -5.823855297
FRMPD4 9758 -2.5388815 2.2695905 -8.2649715 0.005413755225 0.0492140175 0.555704509
FRRS1 391059 -0.1022785 3.2602533 -0.2053044 0.8441221 0.931532839 -6.84286586
FRS2 10818 -0.3048596 3.51992 -1.187166 0.2800254 0.574196775 -6.137389085
FRS3 10817 0.1824399 7.5396147 1.005485 0.3534744 0.65070334 -6.32834886
FRY 10129 -1.177617 8.5798992 -2.704126 0.03537924 0.176562821 -4.122882822
FRYL 285527 -0.446379925 6.850755275 -1.8113505 0.1705523925 0.40730678875 -5.3239086145
FRZB 2487 -0.44711955 9.0982792 -0.9908281 0.40965305 0.650940276 -6.2614243075
FSCB 84075 0.5877611 1.126339 1.28444 0.246346 0.536188396 -6.027110128
FSCN1 6624 0.42948045 4.01160725 1.033322 0.34461855 0.63970635 -6.295355651
FSCN2 25794 -0.1102613 3.7570146 -0.314258 0.7639646 0.895363196 -6.810578679
FSCN3 29999 -0.5400948 1.7740002 -1.070611 0.325507 0.623864247 -6.262330396
FSD1 79187 0.1678904 2.8758501 0.6333841 0.5498469 0.793796113 -6.643066648
FSD1L 83856 1.843789 3.8283847 4.127011 0.006166834 0.067020546 -2.263112135
FSD2 123722 0.2733432 2.4310974 0.3142262 0.7639876 0.895363196 -6.810590011
FSHB 2488 0.2341179 0.4882981 1.091733 0.3168354 0.615247284 -6.240315145
FSHR 2492 -0.6251454 0.6996996 -0.8130577 0.447237 0.730015753 -6.505386311
FSIP1 161835 1.869132 4.3301817 2.153871 0.07470339 0.271454073 -4.891008721
FST 10468 -2.71419 7.4223498 -5.068225 0.002291604 0.039874977 -1.198252947
FSTL1 11167 -0.1384274 13.3128341 -0.3085844 0.7680706 0.897189041 -6.812585326
FSTL3 10272 -0.7562032 6.7633174 -1.442335 0.1992997 0.476395249 -5.838127653
FSTL4 23105 -0.3009795 3.0960868 -0.8054238 0.4513035 0.733064839 -6.511807814
FSTL5 56884 -0.4305105 0.9697543 -0.6790629 0.5224142 0.778196275 -6.610811157
FTCD 10841 -1.355319 6.3176362 -2.672005 0.03692562 0.180981816 -4.167526214
FTH1 2495 0.005736578 13.49562718 -0.00958549999999999 0.47314829 0.6693264962 -6.1754836042
FTHL17 53940 -0.09702011 11.2469652 -0.5370754 0.6105368 0.825274982 -6.704552232
FTL 2512 0.4455727 12.6371169 1.95591 0.0983510666666667 0.316691976333333 -5.16435912
FTMT 94033 0.44100295 2.9187872 0.73569575 0.5289753 0.7407629615 -6.4875067085
FTO 79068 -0.8328829 8.9413633 -3.054129 0.02239133 0.135004771 -3.641779982
FTSJ1 24140 0.51925225 7.14399945 2.217048 0.072520525 0.2617556815 -4.801421836
FTSJ2 29960 0.3407346 8.3965907 1.869378 0.1107715 0.340298592 -5.282341643
FTSJ3 117246 -0.1516027 10.3032333 -0.6540962 0.5372972 0.786499526 -6.628681685
FTSJD1 55783 -1.06759715 4.44396895 -4.142494 0.011783611 0.0848655435 -2.330103589
FTSJD2 23070 -0.156909 8.4634045 -0.6350102 0.548855 0.793407445 -6.641951869
FUBP1 8880 -0.2587733 8.3775942 -0.9366298 0.3850977 0.681199883 -6.394923219
FUBP3 8939 -0.117793985 7.26269725 -0.624638545 0.61832295 0.776218693 -6.4957508575
FUCA1 2517 -0.3232437 11.8442666 -1.16463 0.2883733 0.583726099 -6.162187133
FUCA2 2519 0.3169956 9.7389246 0.9554915 0.3762229 0.673097582 -6.377028427
FUK 197258 -0.3336725 9.4340814 -1.505901 0.1828017 0.454324999 -5.75903588
FUNDC1 139341 0.7224978 9.6466302 2.617316 0.03972671 0.188442933 -4.243668662
FUNDC2 65991 0.9045455 6.99854836666667 2.5930842 0.205789473333333 0.402339933 -4.35379906833333
FURIN 5045 0.5889311 6.4853181 1.685482 0.1428709 0.395458068 -5.527994112
FUS 2521 0.1264331 10.3135983 0.3924849 0.7082628 0.872728303 -6.779336532
FUSIP1 10772 -0.1095973925 8.802088975 -0.5025604075 0.669336075 0.82600094025 -6.634802485
FUT1 2523 -0.4664818 7.8345577 -1.789952 0.1236583 0.363774469 -5.38936684
FUT10 84750 -1.0369268 4.6163421 -2.125014 0.082076485 0.2825209245 -4.928738068
FUT11 170384 0.3155337 6.0666069 1.01849 0.3477399 0.645425706 -6.31539616
FUT2 2524 -2.163736 3.2859783 -2.2693735 0.06848822 0.2528986305 -4.7285518215
FUT3 2525 -0.2431612 3.8527505 -0.5889706 0.5773651 0.806893449 -6.672540503
FUT4 2526 -0.411092995 4.2892761 -1.53837485 0.41325516 0.536819408 -5.403455741
FUT5 2527 0.5854149 4.9167055 1.195726 0.2769092 0.570247165 -6.127893044
FUT6 2528 -0.07839178 9.0692112 -0.3559542 0.7450692 0.8839325505 -6.7526691745
FUT7 2529 -0.5185783 2.9665179 -0.6752565 0.5246658 0.779234976 -6.613572823
FUT8 2530 -0.2643749 7.5040463 -1.316783 0.235966 0.52299397 -5.989347434
FUT9 10690 -0.505238133333333 2.19915233333333 -0.819080466666667 0.455825323333333 0.637591578333333 -5.98225977333333
FUZ 80199 -1.169958 7.59127465 -3.547251 0.0151826165 0.1043212035 -3.0087694105
FXC1 26515 -0.2230809 8.6560503 -1.102135 0.3126358 0.610446161 -6.229368387
FXN 2395 0.1653212 7.1164182 0.6132303 0.5622322 0.79974987 -6.656675033
FXR1 8087 0.2904145 8.844821 1.4680489 0.242780695 0.495189185 -5.744793543
FXR2 9513 0.3555866 6.9967891 1.297681 0.2420484 0.530287162 -6.011713362
FXYD1 5348 -2.209155 6.3028577 -6.005913 0.0009593583 0.025839449 -0.267178615
FXYD2 486 -0.9089594 3.94308605 -3.287971 0.01666103 0.1143644735 -3.327587075
FXYD3 5349 -0.2835683 11.2689113 -0.4769745 0.6502552 0.846013992 -6.738260406
FXYD4 53828 0.5954354 2.5844088 1.473825 0.1909613 0.46601548 -5.799142711
FXYD5 53827 -0.4349505 6.8061613 -1.4638655 0.19384655 0.4690128335 -5.811176084
FXYD6 53826 -2.384558 7.9421901 -7.754194 0.0002417656 0.013775167 1.178195969
FXYD7 53822 0.5699149 1.3447704 1.583335 0.1644313 0.428685721 -5.660682785
FYB 2533 -0.39764575 5.9437049 -0.71714725 0.50056345 0.7645593925 -6.581790091
FYCO1 79443 -0.7502087 9.4064196 -2.903188 0.02721923 0.151289844 -3.847892296
FYN 2534 -0.54994358 7.46505988 -1.8675174 0.115503348 0.3457413331 -5.2810471823
FYTTD1 84248 0.1689888 9.7318409 0.7711646 0.4698774 0.745501884 -6.540022489
FZD1 8321 -1.479885 6.9574484 -7.0712905 0.00389106503 0.04191464 0.112350569
FZD10 11211 -3.702367 7.5387121 -9.259783 8.961485e-05 0.009839055 2.183495011
FZD2 2535 -1.24617 7.2185939 -2.106535 0.07975124 0.280600454 -4.956751184
FZD3 7976 -0.7836311 6.6934208 -2.327677 0.05882498 0.236408032 -4.648494352
FZD4 8322 0.19895365 7.80190875 0.53106615 0.30053155 0.5546138995 -5.9575870975
FZD5 7855 0.119591 9.11028433333333 0.370598 0.4754211 0.740855649666667 -6.528092474
FZD6 8323 -0.1573807 6.4006491 -0.5519709 0.600906 0.820486081 -6.695635749
FZD7 8324 -2.321897 8.1919681 -6.887911 0.0004620674 0.018197694 0.504609733
FZD8 8325 0.5416379 6.0948221 1.679117 0.144131 0.39750135 -5.536351091
FZD9 8326 0.3892983 7.8070962 0.6230086 0.5562018 0.796837221 -6.650120655
FZR1 51343 0.17771388 6.187474125 0.8977210625 0.3324442725 0.497979678 -5.374417037
G0S2 50486 -2.203162 9.3310577 -2.278055 0.06296508 0.246638801 -4.717858974
G30 282706 0.1076168 0.7631506 0.6095 0.5645433 0.800992324 -6.659151428
G3BP1 10146 0.02516999 10.5462066 0.05572938 0.9573667 0.982174737 -6.865313802
G3BP2 9908 -0.02968443 9.32752233333333 -0.103904266666667 0.584116533333333 0.789726588 -6.60688069566667
G6PC 2538 0.54967005 0.9550519 1.27827805 0.3166701 0.557993648 -5.9400742615
G6PC2 57818 -1.113586 1.7263139 -3.227018 0.01797631 0.119316342 -3.4088134
G6PC3 92579 0.5640429 6.3922733 2.508222 0.04601144 0.204543256 -4.395955453
G6PD 2539 0.3216106 6.150178 1.289163 0.2448051 0.534020219 -6.021627318
GAA 2548 -0.2944867 13.152523 -1.2257 0.2662324 0.558247273 -6.09431695
GAB1 2549 -1.38242839 2.913735275 -3.7230622 0.213747768275 0.26782211025 -2.68010468575
GAB2 9846 -0.3767151 5.37167665 -0.9095388 0.5132289 0.6747543515 -6.2073134525
GAB3 139716 -1.337189 3.9225595 -5.333676 0.0017716 0.035116065 -0.922155532
GABARAP 11337 0.3197766 11.9873837 0.9797097 0.3650629 0.661992653 -6.353670139
GABARAPL1 23710 -0.7540089 9.38905035 -1.4486895 0.19774185 0.4746560135 -5.83010934
GABARAPL2 11345 -0.2707723 11.54820595 -0.7245667 0.4959942 0.7622924005 -6.576765093
GABARAPL3 23766 -0.7851375 7.2023735 -1.534402 0.1758262 0.444602688 -5.723079048
GABBR1 2550 -1.50426 5.9925159 -4.004765 0.007079611 0.071809078 -2.411546092
GABBR2 9568 0.3679955 3.0027657 0.3440215 0.7425655 0.885613227 -6.799474249
GABPA 2551 0.04674996 6.1009886 0.2405125 0.8179397 0.920152158 -6.833882713
GABPB1 2553 0.46039725 6.62274085 1.69149825 0.45817791 0.5282689645 -4.947358927
GABPB2 126626 0.1502441 6.0559376 0.59838065 0.268510175 0.5155595935 -5.795546781
GABRA1 2554 -1.0364477 2.3995074 -0.9810017 0.373923 0.6592883075 -6.3372496225
GABRA2 2555 0.2741046 1.36259075 0.5929975 0.57544325 0.806858686 -6.6685125235
GABRA3 2556 -0.1706927 2.5557895 -0.2944581 0.7783292 0.901433402 -6.817427526
GABRA4 2557 0.33166489 0.69481655 0.7907199 0.47798975 0.7288192515 -6.4883686065
GABRA5 2558 -0.2624051 1.3440123 -0.3769245 0.7191999 0.87672494 -6.786077913
GABRA6 2559 -0.1564875 0.7090084 -0.4855925 0.6444775 0.84369091 -6.733652738
GABRB1 2560 -0.5438511 1.2331739 -0.9270712 0.3896568 0.684891469 -6.403890873
GABRB2 2561 0.734055 1.3523556 1.310309 0.2380117 0.5253039 -5.996946885
GABRB3 2562 0.34838825 4.57232085 0.71609805 0.333754145 0.553616546 -5.874187088
GABRD 2563 0.7019624 4.3366267 1.098754 0.3139956 0.611862418 -6.232933731
GABRE 2564 -4.175658 9.3612855 -6.035759 0.0009347048 0.025515258 -0.239499405
GABRG1 2565 0.071335415 0.98857745 0.2725063 0.7972366 0.91136863 -6.8105651835
GABRG2 2566 0.0096370333333333 2.29213633333333 0.4565064 0.4468262 0.675621654333333 -6.29313930633333
GABRG3 2567 -0.582854 5.56875715 -0.63015075 0.551922 0.7940058025 -6.645052377
GABRP 2568 -1.865024 5.672479 -1.824885 0.1178173 0.353093341 -5.342450755
GABRQ 55879 0.12530775 1.4123052 -0.27165315 0.3249717 0.6095695255 -6.1975084295
GABRR1 2569 0.1028394 0.6080513 0.5552112 0.5988225 0.819082214 -6.693666902
GABRR2 2570 -0.5213858 1.5913978 -0.5625207 0.5941379 0.816670241 -6.689187529
GABRR3 200959 -0.06107113 2.3404111 -0.1186841 0.9093992 0.960186825 -6.858986013
GAD1 2571 -0.668473333333333 3.32483936666667 -0.673014266666667 0.496817006666667 0.673145059 -6.163234194
GAD2 2572 -0.7256629 1.8163794 -1.11323 0.3082071 0.605386118 -6.217615767
