logFC AveExpr t P.Value adj.P.Val B GENE
EBF4 -2.154031 11.0004223 -8.130061 0.0001859726 0.012471907 1.447446785 57593
EBI3 0.33920525 5.9239173 0.4509565 0.67358315 0.8524089945 -6.7343524625 10148
EBNA1BP2 0.4100554 13.1228551 1.723413 0.1355806 0.384088141 -5.47797231 10969
EBP -1.887686 12.0656097 -6.983994 0.0004286659 0.017803685 0.583214749 10682
EBPL -1.544324 11.2877365 -2.5702685 0.042477845 0.1954800025 -4.3093646455 84650
ECD 0.2407284 9.5797851 0.7943625 0.4572424 0.736698922 -6.52102587 11319
ECE1 -0.4687934 7.85291665 -1.6091315 0.210072215 0.4543085925 -5.569934922 1889
ECE2 0.10392818 4.35135083333333 0.64060278 0.364432286666667 0.487945769666667 -5.08747399666667 9718
ECEL1 0.3237678 2.5471386 0.4331474 0.6800449 0.860416162 -6.760503033 9427
ECEL1P2 -0.426098 0.7704085 -0.6550669 0.5367135 0.786131301 -6.627997656 347694
ECH1 -0.3294362 8.12594475 -1.1874315 0.2800489 0.5738638745 -6.136926531 1891
ECHDC1 -1.614902 9.40211385 -3.044214 0.027655075 0.147113229 -3.6677694305 55862
ECHDC2 -0.6539467 12.06513555 -2.7929155 0.039617575 0.179855658 -4.0095707495 55268
ECHDC3 -1.567267 7.81844525 -1.4467785 0.1995494 0.4760092635 -5.830904452 79746
ECHS1 0.6673062 13.1856408 1.932163 0.1015364 0.322877948 -5.196913516 1892
ECM1 -1.182107 6.0258633 -2.217357 0.0684439 0.258364945 -4.802590344 1893
ECM2 -0.59893535 4.6162025 -1.24033405 0.33027053 0.490635629 -5.235235673 1842
ECOP -0.007842683 9.2858757 -0.02650237 0.9797161 0.991277115 -6.866700417 81552
ECSIT 0.2892338 10.5290167 1.191598 0.2784084 0.572105919 -6.132478087 51295
ECSM2 -0.4032021 6.9107355 -1.653459 0.1493198 0.405332558 -5.569922743 641700
ECT2 0.664990833333333 4.9771831 1.9904618 0.17397779 0.374163533 -5.04006119566667 1894
EDA 1.7286265 6.3079358 3.728471 0.0143183075 0.0981882815 -2.796141036 1896
EDA2R 1.013195 3.6721545 1.969544 0.09640838 0.312712442 -5.14575455 60401
EDAR -1.476727 1.6883809 -1.161599 0.2895122 0.584805593 -6.165500126 10913
EDARADD 0.4488365 11.1563336 2.063357 0.08465941 0.289827633 -5.016545202 128178
EDC3 0.12072449 6.9936012 0.513157233333333 0.475493233333333 0.69123463 -6.324715507 80153
EDC4 -0.5629668 6.7545048 -3.008919 0.02373187 0.139456139 -3.703266516 23644
EDEM1 0.83630655 7.57663505 3.397365 0.0643418555 0.204641514 -3.329615733 9695
EDEM2 0.28460835 8.03809565 1.577325 0.18555135 0.441695932 -5.6461741275 55741
EDEM3 1.011125 11.4176051 3.139476 0.02007972 0.127236567 -3.5263308 80267
EDF1 0.2725852 13.565103 0.991964 0.3595163 0.656498927 -6.341690231 8721
EDIL3 -2.927544 3.5663325 -6.130529 0.0008610963 0.024720822 -0.152366533 10085
EDN1 0.111476165 8.58436924 0.2798278 0.78956234 0.9075054696 -6.8196591157 1906
EDN2 -1.646953 5.7878809 -3.909161 0.00789913 0.075795163 -2.529256055 1907
EDN3 -2.778977 4.1230405 -12.22613 1.821787e-05 0.008596569 3.702533809 1908
EDNRA -3.069173 6.4633846 -3.90715 0.007946715 0.0761855425 -2.532132238 1909
EDNRB -0.78705995 5.70203115 -0.8922144 0.40666455 0.700069384 -6.435951542 1910
EEA1 -0.202297095 7.35379335 -1.05129005 0.35205898 0.524280866 -5.533108206 8411
EED -0.2686462 10.2693957 -1.10985 0.3095509 0.606700861 -6.221204744 8726
EEF1A1 -0.08229524 13.7010854 -0.29473015 0.78155295 0.9035094175 -6.80229658575 1915
EEF1A2 0.3391003 6.700075 0.4776804 0.6497809 0.84574535 -6.73788584 1917
EEF1B2 -0.020427945 13.39394695 -0.05599865 0.74911885 0.8900920865 -6.8010531965 1933
EEF1D 0.431575425 13.4608377125 1.077699025 0.36312475125 0.633552217 -6.199630292875 1936
EEF1DP3 0.3681066 9.0905728 0.8070725 0.450423 0.732385096 -6.510424998 196549
EEF1E1 0.6544455 9.6165824 2.906495 0.02710215 0.150980941 -3.843353197 9521
EEF1G 0.246113866666667 15.1089210666667 1.0321814 0.363110733333333 0.641529834 -6.26936346233333 1937
EEF2 0.7855152 14.9488842 2.803688 0.03101098 0.163806551 -3.98495208 1938
EEF2K -0.475802 6.52239545 -1.5230935 0.1859302 0.4529773055 -5.728861707 29904
EEFSEC 0.763005 5.0438694 3.005213 0.02384555 0.139821224 -3.708316318 60678
EEPD1 -0.36407065 4.1777314 -1.0250969 0.268650485 0.468527986 -5.3166858975 80820
EFCAB1 -1.46868428 5.18229275 -3.5863729 0.4348779629 0.4799449645 -3.1265311 79645
EFCAB10 0.6185231 3.2671386 0.4795578 0.6485204 0.845173772 -6.736887205 100130771
EFCAB2 -0.3157764 7.0039503 -0.9425419 0.3822987 0.678807979 -6.389342557 84288
EFCAB3 -0.343186 0.7909891 -0.5922562 0.5753014 0.806169866 -6.670425009 146779
EFCAB4A -0.01812232 10.0007649 -0.03844063 0.9705834 0.98704227 -6.866253049 283229
EFCAB4B -0.7348316 4.2277549 -2.15472 0.07461589 0.271289427 -4.889827833 84766
EFCAB6 0.5111534 5.2911182 2.757138 0.03297668 0.169728463 -4.049352177 64800
EFCAB7 -0.19173515 7.9165956 -0.7567124 0.48722895 0.745356514 -6.533377073 84455
EFEMP1 -2.159318 11.0515766 -9.517278 7.671813e-05 0.009342536 2.337328046 2202
EFEMP2 -2.639973 8.5273797 -7.157895 0.0003750195 0.016780818 0.722926576 30008
EFHA1 0.226325 11.6508601 0.8518291 0.4269927 0.715370682 -6.472032233 221154
EFHA2 -3.4294705 7.5714295 -5.147922 0.0021210225 0.038509167 -1.1143970995 286097
EFHB 0.65303687 2.47433455 0.37577449 0.7271357 0.8694921805 -6.7032657925 151651
EFHC1 -0.17214105 5.7477035 -0.42516135 0.42511175 0.6707838475 -6.3283550215 114327
EFHC2 -1.05362633333333 3.88745763333333 -1.36280866666667 0.22904 0.509698323666667 -5.925662777 80258
EFHD1 -1.903255 5.25995475 -1.8599465 0.12291659 0.354065484 -5.285711322 80303
EFHD2 -0.28615775 10.02041225 -0.9116375 0.447022225 0.6018708965 -5.916646592 79180
EFNA1 -0.72555555 11.4776882 -2.8680465 0.03163768 0.161558578 -3.901279044 1942
EFNA2 0.4129718 2.3038651 1.303942 0.2400394 0.527812399 -6.004401847 1943
EFNA3 -0.5384474 3.3269595 -2.525183 0.04496895 0.202310673 -4.372252198 1944
EFNA4 -0.360985 8.5280731 -1.613161 0.1578335 0.418081279 -5.622264584 1945
EFNA5 -1.01538605 4.4268136 -2.1880042 0.3986378125 0.479595492 -4.239773854 1946
EFNB1 -1.793041 9.5047722 -4.649429 0.003505265 0.049875378 -1.655176766 1947
EFNB2 -0.141624545 7.5323809 -0.159025005 0.8224975 0.922667036 -6.8204674985 1948
EFNB3 -1.219164 5.61488395 -3.1808225 0.17376292075 0.3302048505 -2.7082170225 1949
EFR3A -0.7338136 10.1799521 -4.110444 0.006282447 0.067721348 -2.283090763 23167
EFR3B -0.3352772 7.2248737 -0.69685 0.511976 0.772308477 -6.597730548 22979
EFS -1.583572 11.0581493 -2.512389 0.04575299 0.20397848 -4.390131574 10278
EFTUD1 0.262660033 6.79139075 1.2313781625 0.523247195 0.6053964645 -5.66575376 79631
EFTUD2 0.004843916 11.3242914 0.02189124 0.9832445 0.993046912 -6.86682919 9343
EGF 0.5069807 6.9857915 0.843196 0.4314413 0.718758626 -6.479564985 1950
EGFL6 -0.6614057 2.6170897 -0.7078248 0.5056047 0.768470655 -6.589516565 25975
EGFL7 0.04724685 9.2717927 0.121427 0.9073172 0.959495021 -6.858606843 51162
EGFL8 -0.95348165 7.47867625 -4.416004 0.0111684675 0.079884856 -2.053119751 80864
EGFLAM -1.076353 7.4080203 -4.206669 0.005643203 0.064148688 -2.167649969 133584
EGFR -0.28470054 6.90661241 -0.92672885 0.39400383 0.6833312758 -6.3971387373 1956
EGLN1 0.314646793333333 8.01893436666667 1.32177583333333 0.35593703 0.541678262666667 -5.795526262 54583
EGLN2 -0.6341485 9.2861367 -2.225658 0.06766644 0.256808422 -4.791012939 112398
EGLN3 0.1546109 5.6919533 0.4048641 0.6996156 0.868370529 -6.773788558 112399
EGR1 0.5655631 9.1958358 1.032789 0.3415212 0.639560226 -6.301019837 1958
EGR2 0.0438024 5.7673243 0.07327326 0.9439702 0.976083479 -6.864008575 1959
EGR3 -0.6926051 4.0659493 -0.9180648 0.3939903 0.689315515 -6.412277464 1960
EGR4 0.4696293 1.7745795 0.3747965 0.7207014 0.877284343 -6.786979672 1961
EHBP1 0.00617329000000001 6.13987676666667 -0.0166655 0.4188283 0.64583563 -6.239580177 23301
EHBP1L1 -1.711112 8.214477 -5.919558 0.001034984 0.026826058 -0.347913661 254102
EHD1 -0.177121815 8.5909497 -0.80507985 0.4912067 0.7161917485 -6.436325081 10938
EHD2 -1.832504 6.7069433 -9.2822915 9.3758595e-05 0.0100230245 2.18684865 30846
EHD3 -0.3234964 6.4710042 -1.525799 0.177905 0.447305051 -5.73396322 30845
EHD4 0.1932608 8.5792226 0.7672885 0.4720122 0.747031744 -6.543151814 30844
EHF 0.1306523 10.5648557 0.3563982 0.7337393 0.882404333 -6.794572511 26298
EHHADH -1.178531 4.1138534 -1.571064 0.1672213 0.432364496 -5.676405476 1962
EHMT1 -0.4877341 7.61658725 -2.386388 0.139465525 0.3274152305 -4.540886639 79813
EHMT2 -0.284901383333333 7.183633 -1.47851953333333 0.346345506666667 0.510258244666667 -5.56838035 10919
EI24 0.2882896 10.3523865 1.579979 0.16519 0.430002186 -5.664987994 9538
EID1 -0.36369995 13.11328265 -1.43174 0.20229225 0.480295011 -5.851017195 23741
EID2 -0.1468377 9.2086297 -0.6754362 0.5245594 0.779128303 -6.613442745 163126
EID2B -0.6006183 6.1716571 -2.360983 0.05620611 0.23010708 -4.601908859 126272
EID3 -2.16745 5.7796946 -6.897726 0.0004585215 0.018175649 0.512686337 493861
EIF1 0.2002528 15.43180285 0.98094625 0.36450685 0.6615631105 -6.3524553955 10209
EIF1AD 0.0410484 7.61055915 0.476443 0.18661623 0.434823704 -5.5678872895 84285
EIF1AX -0.11375797 10.4281608333333 -0.3700648 0.6039374 0.803941662333333 -6.63595794066667 1964
EIF1AY -0.12911175 9.49421285 -0.7324783 0.37414714 0.5822243175 -5.95841458 9086
EIF1B -0.4235431 9.5498383 -1.523385 0.1784924 0.44812238 -5.73701255 10289
EIF2A -0.30828715 6.6464879 0.21631025 0.34562555 0.6335599495 -6.270887263 83939
EIF2AK1 0.59122775 7.7793434 2.3844945 0.323605431 0.4519847705 -4.4063311355 27102
EIF2AK2 -0.33859105 8.4021022 -0.98187945 0.38177795 0.657510782 -6.3230017405 5610
EIF2AK3 0.7431095 8.0768967 2.470313 0.04843483 0.210290692 -4.44895809 9451
EIF2AK4 0.3544788 9.6933353 1.360012 0.2227032 0.506926894 -5.938082717 440275
EIF2B1 0.03524748 10.8540965 0.1710453 0.8698104 0.942430606 -6.850262514 1967
EIF2B2 0.08057749 9.2859983 0.4292898 0.6826986 0.86132204 -6.762364808 8892
EIF2B3 0.08209497 8.0150046 0.3053407 0.7704217 0.898197727 -6.813716641 8891
EIF2B4 0.1487254 9.572099 0.568024 0.5906248 0.814801572 -6.685780256 8890
EIF2B5 0.1292733 9.5386919 0.5510694 0.6014864 0.820753008 -6.696181647 8893
EIF2C1 -0.58720065 6.73199595 -1.05180825 0.3431308 0.631866479 -6.2667988155 26523
EIF2C2 0.3390532 7.9507283 0.9561217 0.3759291 0.672870107 -6.376426064 27161
EIF2C3 -0.6008886 8.5214203 -2.424254 0.05156144 0.217753854 -4.513387182 192669
EIF2C4 -0.9243686 4.5726937 -2.9327885 0.04192224 0.1778866225 -3.8333789895 192670
EIF2S1 0.02233885 7.57456225 0.3258343 0.4459837 0.700166255 -6.4217535415 1965
EIF2S2 0.01518475 7.006725 0.033892 0.03871702 0.1857488505 -4.2157733545 8894
EIF2S3 0.276834 7.1105298 1.150362 0.2937677 0.589066368 -6.177733772 1968
EIF3A -0.05398592 14.0856648 -0.2154816 0.8365296 0.928594935 -6.840412649 8661
EIF3B 0.4999706 12.4340277 1.736209 0.1332038 0.380194948 -5.461014484 8662
EIF3C 0.067809245 13.8725825 0.1918544 0.8544873 0.9361853485 -6.843865621 8663
EIF3D 0.098265765 13.68573315 0.395722 0.70602865 0.8712045895 -6.777793789 8664
EIF3E 0.533824233333333 11.4085082666667 1.07343933333333 0.324773666666667 0.622443841333333 -6.25874062966667 3646
EIF3F 0.2953006 11.3109024 1.300347 0.24119625 0.5292740125 -6.008595608 8665
EIF3G 0.1001978 12.2111675 0.3556576 0.7342662 0.882489095 -6.794870485 8666
EIF3H 0.5278835 14.5284933 1.416547 0.2063768 0.485754373 -5.869752112 8667
EIF3I 0.4616813 12.0434179 1.862658 0.1118082 0.342337543 -5.291444471 8668
EIF3J 0.4379245 11.5222822 1.801731 0.1216575 0.360290236 -5.373575552 8669
EIF3K 0.092246395 12.47597085 0.51709585 0.63376105 0.8290708025 -6.6887571055 27335
EIF3L -0.1764452 12.2952997 -0.7039388 0.50790645 0.769661166 -6.592331247 51386
EIF3M 0.3814526 12.3275387 1.4529715 0.2199767 0.486414767 -5.796383969 10480
EIF4A1 1.15175225 12.05524605 4.829552 0.0031620885 0.0465956075 -1.46704880225 1973
EIF4A2 0.0700132666666667 9.41713613333333 0.409700666666667 0.262523733333333 0.543656067333333 -6.00998904266667 1974
EIF4A3 -0.002662549 12.4526232 -0.01047788 0.9919797 0.996473404 -6.867042393 9775
EIF4B 0.422288133333333 9.23068416666667 1.27996435 0.27854305 0.543578783166667 -5.98737291183333 1975
EIF4E 0.08466978 7.43844324 0.2521459 0.52409704 0.7494742618 -6.5137835506 1977
EIF4E2 0.3022726 11.9193563 1.205917 0.2732384 0.565795322 -6.116533577 9470
EIF4E3 -0.511503566666667 5.34405003333333 -2.54825276666667 0.282545907 0.468034694666667 -4.40397245466667 317649
EIF4EBP1 -0.01290668 9.1854069 -0.03301611 0.9747326 0.988887476 -6.866476706 1978
EIF4EBP2 -0.526907425 7.6326966 -1.82982025 0.1495488625 0.38598945075 -5.312587053 1979
EIF4ENIF1 -0.7458534 8.5254888 -3.215405 0.01824092 0.120433412 -3.424347286 56478
EIF4G1 0.6405572 11.6544055 2.629664 0.03907504 0.186845415 -4.226462736 1981
EIF4G2 0.06576585 12.9724385 0.3056347 0.7702085 0.898140909 -6.81361457 1982
EIF4G3 0.01122873 6.12570145 0.1274523 0.7915561 0.908299323 -6.813490773 8672
EIF4H 0.0341270233333333 9.36045476666667 0.1204941 0.789832766666667 0.907515363333333 -6.81655412033333 7458
EIF5 -0.305908206666667 8.95862003333333 -1.0117744 0.39768372 0.596826411666667 -5.844288725 1983
EIF5A 0.625929 8.45693065 2.1007875 0.089779325 0.294065889 -4.959175821 1984
EIF5A2 -2.0105135 5.02903965 -3.730524 0.015397717 0.101433753 -2.8022082245 56648
EIF5B 0.16227101 8.27783096 0.70385545 0.51412355 0.7669658817 -6.5795114673 9669
EIF6 -0.2533934 11.708056 -1.298916 0.2416509 0.529844647 -6.010272321 3692
ELA1 1.485815 2.6176353 1.468715 0.1922919 0.467361057 -5.805494835 1990
ELA2 -1.912808 2.5374849 -7.523226 0.0002855927 0.014966188 1.00608996 1991
ELA2A -0.0154371 3.0813158 -0.05694653 0.9564368 0.981731524 -6.865234695 63036
ELA3B 0.2227285 2.9312627 0.2418125 0.8169776 0.919752755 -6.833524332 23436
ELAC1 -0.8934932 8.1322527 -3.128486 0.02036222 0.128248356 -3.541148972 55520
ELAC2 -0.0168002666666667 11.3236854666667 -0.0898892333333333 0.8376644 0.928510609 -6.840067632 60528
ELAVL1 -0.154759836666667 8.0440241 -0.443740366666667 0.5519964 0.709602091666667 -6.27680941933333 1994
ELAVL2 0.8420218 2.04654375 2.50355765 0.3022261575 0.4376759405 -4.286282188 1993
ELAVL3 0.1995759 2.03657715 0.5629729 0.236212925 0.486963149 -5.711317319 1995
ELAVL4 -0.446352366666667 1.89365243333333 -0.428643566666667 0.471201733333333 0.734174026 -6.509093163 1996
ELF1 -1.4452425 7.1683017 -6.708014 0.0005345777 0.019614214 0.35419676 1997
ELF2 -0.6855552 8.9174973 -3.478374 0.01316735 0.100783957 -3.076931414 1998
ELF3 -0.1916458 8.8097564 -0.3765044 0.7194962 0.876792114 -6.786256292 1999
ELF4 -0.94233505 5.6411681 -3.06119615 0.196698602 0.3622525735 -3.734141686 2000
ELF5 2.581972 5.18305606666667 4.13832166666667 0.0143910183333333 0.0904832833333333 -2.33214305566667 2001
ELFN1 -1.072636 13.111677 -2.349272 0.05711281 0.232304596 -4.618291338 392617
ELFN2 -1.650017 8.0810432 -1.507176 0.182484 0.453966205 -5.757432747 114794
ELK1 0.5327597 5.2783559 1.7249 0.1353023 0.38380689 -5.476003647 2002
ELK3 -0.2780626 3.8591709 -0.9867705 0.3618588 0.658941656 -6.346780513 2004
ELK4 -0.6344662 6.1225879 -1.642895 0.151508 0.408660273 -5.583690382 2005
ELL 0.364157333333333 7.75685166666667 1.64800433333333 0.16958189 0.420047263 -5.55636962033333 8178
ELL2 0.196123583666667 8.62303496666667 0.51028905 0.567947953333333 0.709081989333333 -6.21529466033333 22936
ELL3 0.97845155 8.32708375 3.6064475 0.01130977 0.092298413 -2.9114801815 80237
ELMO1 -0.74523615 3.23491085 -2.1202615 0.085580995 0.2870237565 -4.9336118755 9844
ELMO2 -0.188651526666667 6.4526557 -0.743346266666667 0.562988466666667 0.739239083666667 -6.41067985733333 63916
ELMO3 0.2847731 9.4866781 1.532146 0.176369 0.445332011 -5.725935354 79767
ELMOD1 -0.8320897 2.8150146 -0.7725217 0.4691316 0.744951747 -6.538923828 55531
ELMOD2 -0.0159821 8.4396958 -0.54234115 0.2419842 0.4956018795 -5.752253714 255520
ELMOD3 -0.95246835 6.35163055 -2.5968065 0.041881085 0.1929076485 -4.2728411125 84173
ELN -1.14020515 5.364761225 -1.77702865 0.1647144775 0.39496378675 -5.363914481 2006
ELOF1 0.5913121 9.07119 2.426234 0.05142276 0.217412956 -4.510617158 84337
ELOVL1 0.4215626 9.5229131 1.962628 0.09733712 0.314704495 -5.15523522 64834
ELOVL2 1.835106 4.6113881 1.971285 0.09617601 0.312273732 -5.14336704 54898
ELOVL3 -0.3404996 3.1639846 -0.8802381 0.4125933 0.705174531 -6.446823369 83401
ELOVL4 -3.329579 3.3237064 -4.079205 0.006507113 0.068799344 -2.32088031 6785
ELOVL5 0.78194435 8.5597477 2.787601 0.0637589285 0.218553602 -4.0352547555 60481
ELOVL6 -0.305308385 4.77761335 -0.843996865 0.54620755 0.696690244 -6.252088999 79071
ELOVL7 1.652414 7.8684776 7.658742 0.00037780975 0.016123117 1.040498734 79993
ELP1P -0.1991324 3.0088473 -0.8289948 0.4388328 0.723868818 -6.491824808 100169989
ELP2 0.2919785 10.3559616 0.82499335 0.44442905 0.7234340885 -6.4889041655 55250
ELP2P -0.3122185 4.2810453 -0.6648542 0.5308512 0.782868132 -6.621051999 100131454
ELP3 -0.15475945 6.5880308 -0.4438625 0.19399927 0.4470046325 -5.6305283055 55140
ELP4 -0.1271477 8.8099927 -0.5928938 0.5749014 0.805954155 -6.67001324 26610
ELSPBP1 0.4227892 2.6647725 0.50116 0.6341095 0.83794042 -6.725136714 64100
ELTD1 -0.5708196 5.4577423 -2.297346 0.06132067 0.242454983 -4.690900481 64123
EMCN -0.7352157 8.13382505 -2.74458 0.043118075 0.187582591 -4.076171639 51705
EMD 0.3345649 8.3546579 0.8646729 0.4204372 0.710541403 -6.460714648 2010
EME1 0.1224852 4.4216531 0.5435832 0.6063185 0.823270101 -6.700683806 146956
EME2 0.521719 6.2784063 1.458991 0.194848 0.470700103 -5.817555848 197342
EMG1 0.26503255 10.4554432 1.09693575 0.32520095 0.614485727 -6.219300669 10436
EMID1 -1.5301244 5.31445335 -2.975746 0.03698646 0.167863553 -3.772171344 129080
EMID2 -0.2019845 3.9534635 -0.5584387 0.5967514 0.818479774 -6.691695572 136227
EMILIN1 -2.846451 9.3232428 -6.993818 0.0004254098 0.01774775 0.591194821 11117
EMILIN2 -0.65574 10.1954613 -1.016177 0.3487544 0.646482503 -6.317708809 84034
EMILIN3 -0.8975872 5.6306008 -2.573766 0.04211887 0.194759197 -4.304406969 90187
EML1 -0.04329474 8.8968236 -0.2276697 0.8274624 0.924135899 -6.837321066 2009
EML2 -0.2807301 9.2474025 -1.113202 0.3082186 0.605386118 -6.217646415 24139
EML3 0.03835322 7.1574027 0.197269 0.8501297 0.934161868 -6.844720101 256364
EML4 -0.5402201 10.43356685 -1.8893355 0.12240654 0.3504148765 -5.242750501 27436
EMP1 -0.10635113 7.6414706 -0.37047205 0.73134825 0.878053448 -6.761057574 2012
EMP2 -1.15955675 11.44676985 -2.3669625 0.060898305 0.2356621325 -4.593026585 2013
EMP3 -1.326992 7.6102026 -5.506181 0.001505882 0.032449626 -0.74815915 2014
EMR1 0.7778085 3.2074907 0.7462048 0.4837424 0.753759011 -6.559946133 2015
EMR2 -1.146707 4.6539801 -2.244554 0.06593035 0.253243058 -4.764643536 30817
EMR3 0.3415105 2.4244109 0.4628682 0.65977 0.851355763 -6.745637249 84658
EMX1 -0.1594154 6.1936353 -0.835731 0.4353153 0.721230438 -6.486029951 2016
EMX2 -3.252885 3.2053669 -3.25403 0.01737687 0.11690629 -3.372744684 2018
EMX2OS -3.830345 4.2048779 -4.035174 0.006839206 0.070839133 -2.374404755 196047
EN1 -0.8283899 3.0821474 -0.5008547 0.634312 0.838035797 -6.725306123 2019
EN2 0.1187579 13.0107059 0.4414002 0.6743845 0.857904604 -6.756467656 2020
ENAH -1.541218875 7.25428265 -4.9014495 0.018501721425 0.095175114 -1.69425026125 55740
ENAM -0.07756209 0.8906043 -0.1634999 0.8754928 0.944819046 -6.851712488 10117
ENC1 -0.17589919 8.6360541 -0.2767521 0.79486075 0.9103135235 -6.8058923515 8507
ENDOD1 0.96729065 12.2604782 1.445294 0.19955185 0.476337489 -5.833212298 23052
ENDOG 0.2737126 10.4562214 0.9052374 0.4002258 0.694512167 -6.424115811 2021
ENG 0.0123971 7.4104801 0.04237569 0.9675741 0.985976118 -6.866069564 2022
ENHO -2.32563 5.8537139 -5.414885 0.001640377 0.033717605 -0.839719996 375704
ENO1 0.410388 12.0993159 2.0006805 0.09686579 0.312399893 -5.099740663 2023
ENO2 -2.301617 6.2370264 -4.570849 0.003806512 0.051870773 -1.743897221 2026
ENO3 0.01023682 7.6833707 0.03137209 0.9759903 0.989553642 -6.866537787 2027
ENOPH1 -0.1425422 9.715093 -0.5964143 0.572696 0.804421033 -6.667732758 58478
ENOSF1 -0.44538035 10.32432055 -1.3597495 0.2380493 0.515235451 -5.918895615 55556
ENOX1 -0.7547919 7.2861107 -2.374659 0.05516633 0.227261205 -4.582776606 55068
ENOX2 -0.33043695 7.10546015 -1.343387 0.24306765 0.521077079 -5.938119835 10495
ENPEP -0.4444683 1.3425409 -0.6034122 0.5683274 0.802587598 -6.663164203 2028
ENPP1 -0.47740805 7.3574372 -1.8232785 0.16804525 0.396080459 -5.297432803 5167
ENPP2 0.736841 7.9487802 1.354029 0.2244979 0.509224908 -5.945230349 5168
ENPP3 3.554167 5.5749824 9.784922 6.553307e-05 0.009161401 2.492222084 5169
ENPP4 -0.09524785 10.8309154 -0.2034281 0.8455239 0.932100028 -6.843305367 22875
ENPP5 0.07227659 9.79531 0.07134196 0.945444 0.976737615 -6.864169622 59084
ENPP6 -3.373259 3.80060825 -8.4715485 0.00015619585 0.011684204 1.6716841905 133121
ENPP7 0.3230339 2.1792826 0.4648069 0.6584581 0.850516248 -6.744635586 339221
ENSA 0.84988875 8.7187689 2.667209 0.037736645 0.1824759105 -4.1746587835 2029
ENTHD1 0.1035268 3.1408604 0.1787015 0.8640531 0.939623052 -6.848725027 150350
ENTPD1 -0.61287365 4.6995191 -2.208481 0.06938213 0.2604606025 -4.814927852 953
ENTPD2 0.1120392 7.2121696 0.4212753 0.6882278 0.863473692 -6.766182647 954
ENTPD3 -1.23663865 4.61521595 -2.972558 0.025580185 0.145656899 -3.7544573905 956
ENTPD4 -0.29173889 7.6321865 -0.7704496 0.5337747 0.724205234 -6.4122050145 9583
ENTPD5 1.3950994 6.9309779 2.5344 0.049508765 0.209113291 -4.361041018 957
ENTPD6 0.23443705 8.13512985 0.97784105 0.30994918 0.502742184 -5.5069133115 955
ENTPD7 0.7062 5.8076368 2.4382175 0.05631419 0.224846737 -4.4942237015 57089
ENTPD8 0.1331551 2.8638008 0.2465217 0.8134955 0.918016909 -6.832210356 377841
ENY2 -0.80351235 7.9100743 -1.72448675 0.205442664 0.379513339 -4.2210754265 56943
EOMES -0.2326195 1.5237363 -0.2976148 0.7760324 0.900427448 -6.816364563 8320
EP300 -0.414544183636364 5.83369989090909 -1.49202281818182 0.22821559 0.470986987 -5.71654190463636 2033
EP400 -0.165738106666667 6.75395386666667 -0.829742733333333 0.532161703333333 0.682904280666667 -6.12510350233333 57634
EP400NL 0.7780135 4.259403 1.993041 0.0933191 0.306803909 -5.113494241 347918
EPAG 0.4941293 2.0095865 0.6166111 0.5601427 0.798847565 -6.654419207 10824
EPAS1 -0.9835067 8.71972105 -4.30487 0.005226658 0.060938014 -2.0550368305 2034
EPB41 0.31908685 3.46464615 -0.1388465 0.18969075 0.461301701 -5.7742167995 2035
EPB41L1 -0.69751205 8.5151021 -2.0076165 0.13324767 0.347876478 -5.062095268 2036
EPB41L2 -1.505186 6.2134234 -4.698551 0.003330654 0.048772977 -1.600199875 2037
EPB41L3 -0.06382361 6.7116397 -0.08017879 0.9387024 0.9733647 -6.863397619 23136
EPB41L4A -0.209453433333333 3.27002273333333 -0.293910866666667 0.591763766666667 0.783558663333333 -6.57024726966667 64097
EPB41L4B 0.70617515 6.4222203 2.3493211 0.17857106725 0.3229820695 -4.1724921515 54566
EPB41L5 -0.352177966666667 4.5453049 -0.825888266666667 0.256812336666667 0.463219558666667 -5.27840603 57669
EPB42 -0.4090753 2.6838986 -0.673653 0.5256162 0.77972037 -6.614732198 2038
EPB49 -0.2038116 5.1943036 -0.5468659 0.6041969 0.822310625 -6.698716465 2039
EPC1 -0.96902125 8.138604 -4.2744385 0.012931936 0.0866077215 -2.213144658 80314
EPC2 -1.02349 9.7123239 -3.775311 0.00923 0.082520049 -2.696430762 26122
EPCAM 0.402964 12.7752904 1.340532 0.2285945 0.514020758 -5.961293335 4072
EPDR1 -1.20480895 8.6109374 -2.262965 0.095666615 0.288335812 -4.7270368735 54749
EPGN 0.08574937 0.4788145 0.4179775 0.6905091 0.864072101 -6.767733932 255324
EPHA1 -0.03055591 6.0145087 -0.1157169 0.9116524 0.961213108 -6.859386487 2041
EPHA10 1.325878025 5.07325655 3.798890345 0.48935973085 0.5025662165 -2.8916916245 284656
EPHA2 -0.8203209 5.0220842 -3.082801 0.02158395 0.132154715 -3.602901989 1969
EPHA3 -1.26248833333333 3.70227783333333 -3.07017216666667 0.140764147666667 0.26379606 -2.97782372666667 2042
EPHA4 -0.5559655 7.71331276666667 -1.0425168 0.341271766666667 0.635611676666667 -6.28514572533333 2043
EPHA5 -5.079875 3.2566633 -5.583119 0.001404966 0.0312823625 -0.6721788415 2044
EPHA6 1.156491 0.9096376 2.67575 0.03674167 0.180599069 -4.162318185 285220
EPHA7 -2.160122 3.97729115 -4.0364265 0.0149913535 0.0958726845 -2.4730624375 2045
EPHA8 -0.398312145 0.7669687 -0.900387485 0.54787025 0.6795915345 -6.14989851 2046
